GRB,Date-Obs,Follow-up delay,Acquisition mag,z,HI,HI_err,Exptime,Slit width,Airmass,Ambient Seeing,In Sample,RRM,Short,XRT flux,XRT flux density,Intervening systems,,,,
GRB130701A,2013-07-01T09:45:49.959,5.5,19.9,1.155,,,1.2/1.2/1.2,1.0/0.9/0.9JH,2.0--2.0,1.4,Yes,No,No,2.72E-12,0.184245,nan,,,,
GRB130925A,2013-09-25T07:42:46.466,3.5,>24,0.347,,,5.88/6.0/6.0,1.0/0.9/0.9JH,1.0--1.0,0.6,Yes,No,No,,,nan,,,,
GRB131011A,2013-10-13T03:58:56.006,34.2,>24,1.874,22,0.2,4.5/4.5/4.5,1.0/0.9/0.9,1.1--1.1,0.8,No,No,No,,,nan,,,,
GRB131030A,2013-10-31T00:19:06.5158,3.4,18,1.296,,,3.6/3.6/3.6,1.0/0.9/0.9,1.1--1.1,1.1,Yes,No,No,1.77E-11,1.19684,1.16,,,,
GRB131103A,2013-11-05T00:54:57.8349,5.8,20.48,0.599,,,2.4/2.4/2.4,1.0/0.9/0.9JH,1.1--1.1,1.0,Yes,No,No,1.66E-12,0.110634,nan,,,,
GRB131105A,2013-11-05T04:34:52.1918,1.3,22.4,1.686,,,4.8/4.8/4.8,1.0/0.9/0.9,1.3--1.4,0.8,Yes,No,No,1.33E-11,0.875619,nan,,,,
GRB131117A,2013-11-17T01:41:43.932,1.1,20,4.042,20,-99,4.8/4.8/4.8,1.0/0.9/0.9JH,1.3--1.2,1.7,Yes,No,No,2.48E-12,0.166819,nan,,,,
GRB131231A,2014-01-01T00:59:04.0291,20.2,18.5,0.642,,,2.4/2.4/2.4,1.0/0.9/0.9JH,1.4--1.3,0.9,No,No,No,,,nan,,,,
GRB140114A,2014-03-28T04:04:39.710,1745.7,>24,3,,,5.4/5.4/5.4,1.0/0.9/0.9JH,1.7--1.7,1.2,Yes,No,No,,,nan,,,,
GRB140213A,2014-02-14T01:12:13.746 ,5.8,19.5,1.208,,,1.2/1.2/1.2,1.0/0.9/0.9JH,1.5--1.5,0.7,No,No,No,2.05E-11,1.39445,nan,,,,
GRB140301A,2014-03-02T00:27:01.664 ,9,23.1,1.416,,,7.2/7.2/7.2,1.0/0.9/0.9JH,1.1--1.1,0.9,Yes,No,No,3.88E-13,0.0241047,nan,,,,
GRB140311A,2014-03-13T05:34:16.399,32.5,>24,4.95,22.4,0.15,7.6/6.3/8.4,1.0/0.9/0.9JH,1.2--1.2,0.6,No,No,No,2.65E-13,0.0168311,nan,,,,
GRB140430A,2014-04-30T23:08:53.645,2.5,19,1.601,,,1.2/1.2/1.2,1.0/0.9/0.9,2.0--1.8,1.6,No,No,No,3.39E-12,0.227675,nan,,,,
GRB140506A,2014-05-07T05:03:18.104 ,8.8,20.9,0.889,,,4.8/4.8/4.8,1.0/0.9/0.9,1.3--1.4,0.7,Yes,No,No,5.66E-12,0.372663,nan,,,,
GRB140515A,2014-05-16T00:42:47.623,15.5,>24,6.327,19.0,0.5,4.8/4.8/4.8,1.0/0.9/0.9,1.3--1.3,1.4,Yes,No,No,8.53E-13,0.0567225,nan,,,,
GRB140614A,2014-06-14T04:52:06.944,3.8,21.5,4.233,21.5,0.3,2.4/2.4/2.4,1.0/0.9/0.9,1.8--1.8,0.7,Yes,No,No,1.71E-12,0.11296,nan,,,,
GRB140622A,2014-06-22T10:22:05.394,0.8,>24,0.959,,,1.2/1.2/1.2,1.0/0.9/0.9,1.4--1.3,1.0,Yes,No,No,1.35E-13,0.00832831,nan,,,,
GRB141028A,2014-10-29T02:15:49.827,15.4,20,2.332,20.63,0.15,2.4/2.4/2.4,1.0/0.9/0.9,1.5--1.4,1.0,No,No,No,,,"2.09,1.82",,,,
GRB141031A,2015-01-29T03:21:32.525,10911.8,>24,,,,2.4/2.4/2.4,1.0/0.9/0.9,1.2--1.3,0.8,No,No,No,,,nan,,,,
GRB141109A,2014-11-09T07:45:25.720,1.9,19.2,2.993,22.1,0.2,2.4/2.4/2.4,1.0/0.9/0.9JH,1.5--1.7,0.8,Yes,No,No,3.57E-11,2.42295,"2.5,1.67",,,,
GRB150206A,2015-02-07T00:49:10.494,10,21.9,2.087,21.7,0.3,2.4/2.4/2.4,1.0/0.9/0.9,2.1--1.9,0.8,No,No,No,1.06E-11,0.710215,nan,,,,
GRB150301B,2015-03-02T00:45:19.943,5.1,21,1.517,,,3.6/3.6/3.6,1.0/0.9/0.9JH,1.2--1.2,1.1,Yes,No,No,7.39E-13,0.0493703,nan,,,,
GRB150403A,2015-04-04T08:48:04.891 ,10.8,19.1,2.06,21.6,0.15,2.4/2.4/2.4,1.0/0.9/0.9,1.6--1.7,,Yes,No,No,2.99E-11,1.94898,1.76,,,,
GRB150423A,2015-04-23T06:49:37.954,0.4,>24,1.394,,,4.8/4.8/4.8,1.0/0.9/0.9,2.7--2.4,1.4,Yes,Yes,Yes,2.31E-12,0.141116,nan,,,,
GRB150428A,2015-04-28T05:13:59.282,3.7,>24,,,,2.4/2.4/2.4,1.0/0.9/0.9JH,1.6--1.5,0.8,Yes,No,No,5.39E-12,0.366727,nan,,,,
GRB150514A,2015-05-15T23:07:20.855,28.4,19.5,0.807,,,2.4/2.4/2.4,1.0/0.9/0.9,2.3--2.1,0.9,No,No,No,,,nan,,,,
GRB150518A,2015-05-20T04:25:08.014,30.7,>24,0.256,,,2.4/2.4/2.4,1.0/0.9/0.9JH,1.3--1.3,1.7,No,No,No,,,nan,,,,
GRB150616A,2015-06-17T04:33:44.718,2091.9,>24,1.188,,,2.4/2.4/2.4,1.0/0.9/0.9,1.4--1.5,0.8,No,No,No,6.37E-12,0.427008,nan,,,,
GRB150727A,2015-07-28T00:01:26.002,5,20.5,0.313,,,3.6/3.6/2.4,1.0/0.9/0.9JH,1.2--1.2,1.4,Yes,No,No,5.54E-13,0.0368755,nan,,,,
GRB150821A,2015-08-21T09:56:23.226 ,0.2,16,0.755,,,2.4/2.4/2.4,1.0/0.9/0.9,2.0--1.8,1.3,Yes,Yes,No,8.05E-10,53.4661,nan,,,,
GRB150910A,2015-09-11T05:10:48.395,20.1,21.2,1.359,,,1.8/1.8/1.8,1.0/0.9/0.9JH,1.9--1.9,1.3,Yes,No,No,4.51E-13,0.0299725,nan,,,,
GRB150915A,2015-09-16T00:38:28.452,3.3,23,1.968,21.1,0.3,4.8/4.8/4.8,1.0/0.9/0.9JH,1.1--1.1,1.6,Yes,No,No,1.33E-13,0.00887513,nan,,,,
GRB151021A,2015-10-21T02:14:18.443,0.75,18.2,2.33,22.1,0.2,4.2/4.2/4.2,1.0/0.9/0.9,1.0--1.1,1.4,Yes,Yes,No,6.30E-11,4.28148,1.49,,,,
