#GRB	Redshift	Ave_NH_PC	Ave_dNH_PC+	Ave_dNH_PC-
151114A	N/A	2.14E-7	+2.93E-2	-2.14E-7
151112A	N/A	8.43E-2	+3.71E-2	-3.39E-2
151111A	N/A	4.99E-2	+4.75E-2	-4.12E-2
151031A	1.167	0.97	+0.39	-0.33
151029A	1.423	0.34	+0.42	-0.34
151027B	4.063	4.1	+2.5	-2.2
151027A	0.81	0.44	+6.72E-2	-6.36E-2
151023A	N/A	2.3	+1.8	-1.4
151022A	N/A	0.15	+0.26	-0.15
151021A	2.33	2.2	+0.46	-0.43
151006A	N/A	0.34	+8.53E-2	-7.79E-2
151001B	N/A	1.2	+0.44	-0.38
151001A	N/A	4.56E-2	+3.98E-2	-3.55E-2
150925A	N/A	0.23	+0.12	-0.10
150915A	1.968	0.11	+0.92	-0.11
150911A	N/A	0.24	+7.53E-2	-6.95E-2
150910A	1.36	0.11	+0.13	-0.11
150907B	N/A	0.43	+0.63	-0.34
150902A	N/A	0.59	+1.1	-0.59
150831B	N/A	1.9	+1.3	-0.91
150831A	N/A	9.46E-8	+0.18	-9.46E-8
150821A	0.755	2.2	+0.38	-0.34
150819A	N/A	0.49	+0.24	-0.20
150818A	N/A	6.68E-2	+7.96E-2	-6.49E-2
150817A	N/A	0.18	+6.59E-2	-6.15E-2
150811A	N/A	9.26E-2	+9.25E-2	-7.98E-2
150801B	N/A	2.8	+0.47	-0.44
150728A	N/A	15.2	+22.8	-12.0
150727A	0.313	4.74E-6	+0.13	-4.74E-6
150724B	N/A	0.23	+0.41	-0.23
150724A	N/A	8.89E-2	+7.95E-2	-7.26E-2
150722A	N/A	7.91E-2	+3.61E-2	-3.32E-2
150720A	N/A	0.43	+0.46	-0.37
150716A	N/A	1.2	+2.7	-1.2
150711A	N/A	0.33	+9.02E-2	-8.11E-2
150710B	N/A	2.04E-6	+7.15E-2	-2.04E-6
150627A	N/A	9.37E-2	+6.26E-2	-5.81E-2
150626B	N/A	0.97	+0.13	-0.12
150626A	N/A	0.12	+0.11	-9.48E-2
150622A	N/A	3.87E-6	+0.35	-3.87E-6
150616A	N/A	0.44	+4.69E-2	-4.47E-2
150615A	N/A	5.62E-2	+0.12	-5.62E-2
150608A	N/A	5.70E-2	+8.20E-2	-5.70E-2
150607A	N/A	0.16	+4.28E-2	-3.99E-2
150530A	N/A	1.1	+0.86	-0.69
150527A	N/A	0.49	+0.45	-0.38
150523A	N/A	N/A		
150523A	N/A	2.55E-7	+0.11	-2.55E-7
150518A	N/A	0.85	+0.42	-0.33
150514A	N/A	2.87E-7	+8.43E-2	-2.87E-7
150430A	N/A	0.35	+6.52E-2	-6.04E-2
150428B	N/A	4.22E-8	+2.71E-2	-4.22E-8
150428A	N/A	0.49	+0.23	-0.19
150424A	N/A	5.99E-2	+5.21E-2	-4.58E-2
150423A	N/A	4.87E-3	+0.11	-4.87E-3
150403A	2.06	0.57	+0.14	-0.14
150323C	N/A	7.11E-2	+4.75E-2	-4.12E-2
150323A	0.593	0.48	+0.19	-0.16
150318A	N/A	7.29E-2	+0.10	-7.29E-2
150317A	N/A	2.9	+0.58	-0.52
150314A	1.758	1.5	+0.34	-0.31
150309A	N/A	0.19	+4.66E-2	-4.37E-2
150302A	N/A	0.16	+0.21	-0.15
150301B	1.5169	7.73E-6	+0.19	-7.73E-6
150301A	N/A	N/A		
150222A	N/A	0.49	+9.27E-2	-8.48E-2
150219A	N/A	1.8	+0.62	-0.52
150213B	N/A	4.45E-2	+7.49E-2	-4.45E-2
150212A	N/A	0.12	+0.12	-9.70E-2
150211A	N/A	0.64	+0.15	-0.14
150206A	2.087	0.94	+0.21	-0.20
150204A	N/A	4.1	+6.5	-3.4
150203A	N/A	0.83	+0.49	-0.40
150202B	N/A	9.98E-2	+0.53	-9.98E-2
150202A	N/A	0.18	+6.12E-2	-5.52E-2
150201A	N/A	0.39	+7.26E-2	-6.73E-2
150120B	N/A	0.21	+7.45E-2	-6.78E-2
150120A	N/A	0.60	+0.55	-0.35
150110B	N/A	0.64	+0.24	-0.21
150103A	N/A	0.99	+0.59	-0.50
150101B	N/A	2.05E-2	+9.50E-2	-2.05E-2
150101A	N/A	0.56	+2.4	-0.56
141225A	N/A	4.26E-10	+2.02E-2	-4.26E-10
141222A	N/A	N/A		
141221A	N/A	0.25	+7.24E-2	-6.55E-2
141220A	1.3195	0.35	+0.31	-0.27
141215A	N/A	1.49E-7	+0.19	-1.49E-7
141212B	N/A	0.13	+0.20	-0.13
141212A	N/A	1.98E-2	+0.24	-1.98E-2
141130A	N/A	2.86E-2	+4.81E-2	-2.86E-2
141121A	1.47	0.39	+0.22	-0.20
141109B	N/A	7.46E-2	+4.23E-2	-3.83E-2
141109A	2.993	2.0	+0.80	-0.73
141031B	N/A	0.34	+0.28	-0.21
141031A	N/A	4.32E-2	+6.75E-2	-4.32E-2
141028A	N/A	0.17	+0.38	-0.17
141026A	N/A	0.14	+0.13	-0.11
141022A	N/A	1.0	+0.51	-0.39
141020A	N/A	3.40E-2	+3.87E-2	-3.40E-2
141017A	N/A	0.14	+3.23E-2	-3.06E-2
141015A	N/A	4.50E-7	+0.44	-4.50E-7
141005A	N/A	0.17	+0.10	-8.82E-2
141004A	N/A	1.08E-2	+0.12	-1.08E-2
140930B	N/A	2.65E-2	+4.33E-2	-2.65E-2
140928A	N/A	0.23	+0.10	-8.98E-2
140927A	N/A	8.06E-2	+0.10	-8.06E-2
140919A	N/A	7.50E-2	+3.01E-2	-2.84E-2
140916A	N/A	0.12	+2.28E-2	-2.17E-2
140909A	N/A	0.87	+1.2	-0.66
140907A	1.21	0.28	+0.32	-0.28
140901B	N/A	N/A		
140831A	N/A	N/A		
140824B	N/A	N/A		
140824A	N/A	0.10	+8.17E-2	-6.72E-2
140818B	N/A	0.20	+0.19	-0.16
140818A	N/A	N/A		
140818A	N/A	0.14	+0.13	-0.10
140817A	N/A	0.17	+3.96E-2	-3.72E-2
140815A	N/A	N/A		
140809A	N/A	N/A		
140808A	3.29	1.8	+7.8	-1.8
140801A	N/A	1.80E-6	+0.20	-1.80E-6
140730A	N/A	0.23	+0.11	-9.39E-2
140723A	N/A	N/A		
140719A	N/A	0.13	+7.79E-2	-7.00E-2
140716A	N/A	7.03E-2	+0.27	-7.03E-2
140713A	N/A	0.53	+0.11	-0.10
140710A	N/A	0.25	+8.77E-2	-7.79E-2
140709B	N/A	0.14	+4.33E-2	-4.01E-2
140709A	N/A	0.38	+0.11	-0.10
140706A	N/A	4.28E-2	+4.97E-2	-4.28E-2
140703A	3.14	0.44	+0.77	-0.44
140629A	2.275	0.54	+0.27	-0.25
140628A	N/A	9.09E-2	+6.02E-2	-5.25E-2
140626A	N/A	2.49E-2	+0.11	-2.49E-2
140623A	N/A	8.66E-8	+0.40	-8.66E-8
140622A	N/A	5.59E-7	+0.23	-5.59E-7
140620A	N/A	8.72E-2	+7.49E-2	-6.43E-2
140619A	N/A	0.25	+5.09E-2	-4.75E-2
1406194	N/A	N/A		
140614B	N/A	0.17	+0.11	-9.11E-2
140614A	4.233	5.47E-7	+1.3	-5.47E-7
140611A	N/A	1.53E-4	+0.89	-1.53E-4
140610A	N/A	1.6	+1.8	-1.2
140606B	N/A	0.49	+0.89	-0.46
140529A	N/A	0.39	+0.91	-0.39
140518A	4.707	2.9	+1.7	-1.6
140516A	N/A	1.31E-6	+0.15	-1.31E-6
140515A	6.32	1.6	+3.1	-1.6
140512A	0.725	0.19	+6.17E-2	-5.84E-2
140509A	N/A	5.41E-2	+3.55E-2	-3.21E-2
140508A	1.027	0.18	+0.22	-0.18
140506A	0.889	0.67	+0.14	-0.13
140502A	N/A	1.2	+1.5	-1.1
140430A	1.6	0.45	+0.47	-0.42
140423A	3.26	0.87	+0.46	-0.44
140419A	3.956	0.89	+0.56	-0.53
140412A	N/A	0.72	+0.47	-0.36
140408A	N/A	1.4	+0.72	-0.56
140402A	N/A	8.23E-2	+0.41	-8.23E-2
140331A	N/A	9.06E-10	+2.82E-2	-9.06E-10
140330A	N/A	2.86E-2	+0.18	-2.86E-2
140323A	N/A	0.44	+7.25E-2	-6.75E-2
140320C	N/A	1.90E-7	+0.26	-1.90E-7
140320B	N/A	3.07E-2	+6.88E-2	-3.07E-2
140320A	N/A	4.6	+7.0	-4.0
140318A	N/A	0.16	+0.15	-0.11
140311B	N/A	0.11	+8.80E-2	-7.44E-2
140311A	4.95	8.80E-6	+2.5	-8.80E-6
140304A	5.28	3.5	+2.7	-2.5
140302A	N/A	0.17	+0.47	-0.17
140301A	1.416	0.84	+0.53	-0.44
140226A	1.98	6.94E-6	+1.0	-6.94E-6
140215A	N/A	6.60E-2	+5.45E-2	-4.95E-2
140213A	1.2076	1.83E-6	+9.31E-2	-1.83E-6
140211A	N/A	4.33E-6	+0.24	-4.33E-6
140209A	N/A	1.4	+2.3	-1.4
140206A	2.73	1.3	+0.37	-0.35
140129B	N/A	3.59E-2	+5.03E-2	-3.59E-2
140129A	N/A	2.41E-2	+2.74E-2	-2.41E-2
140114A	N/A	0.15	+5.10E-2	-4.61E-2
140108A	N/A	0.77	+0.20	-0.19
140104B	N/A	N/A		
140104B	N/A	1.1	+1.7	-0.80
140103A	N/A	0.23	+0.15	-0.12
140102A	N/A	0.10	+4.60E-2	-4.16E-2
131231A	0.642	0.23	+0.10	-9.35E-2
131229A	N/A	1.1	+0.19	-0.18
131227A	N/A	0.48	+0.18	-0.16
131224A	N/A	N/A		
131218A	N/A	N/A		
131205A	N/A	0.18	+0.21	-0.16
131202A	N/A	9.72E-2	+0.10	-8.12E-2
131128A	N/A	4.94E-2	+6.04E-2	-4.94E-2
131127B	N/A	N/A		
131127A	N/A	0.15	+5.87E-2	-5.44E-2
131122A	N/A	0.13	+0.36	-0.13
131117A	4.042	2.0	+2.0	-1.7
131110A	N/A	N/A		
131108A	N/A	1.1	+0.81	-0.71
131105A	1.686	1.9	+0.48	-0.43
131103A	0.599	1.3	+0.30	-0.26
131031A	N/A	4.68E-3	+0.27	-4.68E-3
131030A	1.293	0.42	+0.17	-0.16
131024B	N/A	0.12	+8.11E-2	-6.92E-2
131024A	N/A	3.53E-2	+3.90E-2	-3.53E-2
131018B	N/A	9.80E-8	+3.5	-9.80E-8
131018A	N/A	0.13	+7.97E-2	-7.32E-2
131014A	N/A	0.71	+0.64	-0.48
131011A	N/A	1.18E-7	+0.17	-1.18E-7
131004A	0.717	0.67	+0.33	-0.27
131002B	N/A	0.28	+0.39	-0.25
131002A	N/A	6.32E-2	+4.98E-2	-4.47E-2
130929A	N/A	4.3	+1.9	-1.6
130925A	0.347	3.0	+0.30	-0.28
130912A	N/A	8.07E-11	+6.18E-2	-8.07E-11
130907A	1.238	1.1	+0.10	-9.68E-2
130903A	N/A	5.03E-8	+0.35	-5.03E-8
130831B	N/A	0.11	+5.12E-2	-4.70E-2
130831A	0.4791	4.64E-2	+6.40E-2	-4.64E-2
130829A	N/A	N/A		
130822A	N/A	5.68E-2	+0.26	-5.68E-2
130821A	N/A	N/A		
130816B	N/A	0.21	+0.45	-0.21
130816A	N/A	0.63	+0.40	-0.32
130812A	N/A	0.13	+8.05E-2	-7.33E-2
130806A	N/A	0.65	+0.80	-0.58
130803A	N/A	1.4	+0.25	-0.23
130727A	N/A	0.12	+4.69E-2	-4.29E-2
130725B	N/A	2.45E-2	+3.61E-2	-2.45E-2
130725A	N/A	3.83E-2	+0.11	-3.83E-2
130722A	N/A	0.50	+0.12	-0.11
130716A	N/A	0.24	+0.20	-0.20
130708A	N/A	N/A		
130702A	0.145	7.38E-2	+4.22E-2	-3.92E-2
130701A	1.155	0.16	+0.18	-0.16
130627B	N/A	4.21E-6	+0.42	-4.21E-6
130627A	N/A	0.39	+0.15	-0.13
130626A	N/A	N/A		
130625A	N/A	0.44	+0.42	-0.32
130623A	N/A	1.64E-6	+0.22	-1.64E-6
130615A	N/A	3.36E-7	+2.92E-2	-3.36E-7
130612A	2.006	1.1	+0.98	-0.83
130610A	2.092	0.33	+0.40	-0.33
130609B	N/A	0.15	+2.97E-2	-2.81E-2
130609A	N/A	0.41	+0.14	-0.12
130608A	N/A	6.52E-3	+5.78E-2	-6.52E-3
130606B	N/A	0.23	+0.11	-9.86E-2
130606A	5.91	1.0	+2.5	-1.0
130605A	N/A	8.33E-6	+0.18	-8.33E-6
130604A	N/A	0.24	+0.13	-0.11
130603B	0.356	0.44	+9.96E-2	-9.41E-2
130603A	N/A	0.58	+0.11	-0.10
130529A	N/A	7.57E-2	+5.14E-2	-4.55E-2
130528A	N/A	0.39	+8.73E-2	-7.96E-2
130527A	N/A	0.13	+5.59E-2	-5.04E-2
130521A	N/A	N/A		
130518B	N/A	N/A		
130518A	2.49	3.0	+3.7	-2.8
130518A	N/A	0.11	+0.22	-0.11
130515A	N/A	1.77E-7	+0.13	-1.77E-7
130514B	N/A	0.42	+0.17	-0.14
130514A	N/A	4.64E-2	+6.01E-2	-4.64E-2
130513A	N/A	0.17	+0.34	-0.17
130511A	1.3033	0.83	+0.33	-0.29
130508A	N/A	2.2	+1.9	-1.4
130505B	N/A	0.24	+0.91	-0.24
130505A	2.27	0.78	+0.22	-0.21
130504C	N/A	0.44	+0.36	-0.29
130502B	N/A	0.25	+0.12	-0.11
130502A	N/A	0.18	+9.67E-2	-8.26E-2
130427B	2.78	0.18	+0.70	-0.18
130427A	0.34	0.13	+8.04E-2	-7.44E-2
130420B	N/A	4.99E-2	+9.83E-2	-4.99E-2
130420A	1.297	0.39	+0.13	-0.13
130419A	N/A	N/A		
130418A	1.218	0.18	+0.28	-0.18
130408A	3.758	5.01E-5	+0.54	-5.01E-5
130327B	N/A	9.18E-3	+1.3	-9.18E-3
130327A	N/A	1.64E-14	+3.46E-2	-1.64E-14
130315A	N/A	2.34E-2	+0.14	-2.34E-2
130313A	N/A	N/A		
130306A	N/A	1.54E-6	+0.57	-1.54E-6
130305A	N/A	0.42	+0.41	-0.28
130216B	N/A	N/A		
130216A	N/A	N/A		
130215A	N/A	N/A		
130211A	N/A	7.92E-7	+0.10	-7.92E-7
130206A	N/A	1.8	+1.3	-1.0
130131B	N/A	0.49	+0.18	-0.16
130131A	N/A	0.30	+8.25E-2	-7.40E-2
130122A	N/A	0.11	+6.22E-2	-5.46E-2
130102A	N/A	0.96	+0.58	-0.48
121229A	2.707	3.16E-7	+0.84	-3.16E-7
121226A	N/A	1.3	+0.33	-0.37
121217A	N/A	8.41E-2	+6.79E-2	-6.31E-2
121212A	N/A	0.21	+4.66E-2	-4.35E-2
121211A	1.023	0.81	+0.17	-0.16
121209A	2.1	7.5	+1.1	-1.0
121202A	N/A	0.21	+5.08E-2	-4.71E-2
121201A	3.385	0.28	+1.0	-0.28
121128A	2.2	0.56	+0.77	-0.56
121125A	N/A	9.61E-2	+2.76E-2	-2.60E-2
121123A	N/A	2.13E-2	+2.41E-2	-2.13E-2
121117A	N/A	1.27E-7	+8.87E-2	-1.27E-7
121108A	N/A	3.07E-3	+0.11	-3.07E-3
121102A	N/A	0.65	+0.33	-0.28
121031A	N/A	0.72	+5.84E-2	-5.58E-2
121028A	N/A	0.54	+0.32	-0.25
121027A	1.773	1.9	+0.29	-0.27
121025A	N/A	0.17	+0.33	-0.17
121024A	2.298	1.1	+0.55	-0.51
121017A	N/A	0.60	+0.23	-0.20
121014A	N/A	N/A		
121011A	N/A	1.82E-2	+6.09E-2	-1.82E-2
120927A	N/A	0.39	+0.11	-9.62E-2
120923A	7.84	1.1	+24.5	-1.1
120922A	N/A	3.82E-2	+3.45E-2	-3.23E-2
120919A	N/A	4.99E-2	+0.27	-4.99E-2
120918A	N/A	N/A		
120913B	N/A	N/A		
120913A	N/A	N/A		
120911A	N/A	0.52	+0.56	-0.44
120909A	3.93	2.5	+1.1	-1.0
120907A	0.97	0.16	+0.12	-0.11
120821A	N/A	N/A		
120819A	N/A	0.41	+0.28	-0.24
120817B	N/A	N/A		
120817A	N/A	0.34	+0.45	-0.26
120816A	N/A	0.45	+0.24	-0.21
120815A	2.358	0.70	+0.67	-0.61
120811C	2.671	1.2	+0.60	-0.55
120807A	N/A	1.1	+0.44	-0.38
120805A	N/A	1.54E-2	+9.97E-2	-1.54E-2
120804A	N/A	0.43	+0.14	-0.13
120803B	N/A	0.70	+0.86	-0.64
120802A	3.796	0.76	+2.1	-0.76
120729A	0.8	0.10	+0.13	-0.10
120728A	N/A	1.17E-10	+3.70E-2	-1.17E-10
120724A	1.48	3.81E-7	+0.17	-3.81E-7
120722A	N/A	7.8	+2.7	-2.2
120716A	2.48	0.28	+0.66	-0.25
120714B	0.3984	2.33E-7	+0.27	-2.33E-7
120714A	N/A	0.45	+0.17	-0.21
120712A	4.1745	1.4	+1.2	-1.1
120711A	1.405	1.9	+0.28	-0.26
120703A	N/A	0.16	+3.49E-2	-3.27E-2
120701A	N/A	0.17	+8.71E-2	-7.44E-2
120630A	N/A	3.23E-6	+0.23	-3.23E-6
120624B	N/A	7.82E-2	+0.56	-7.82E-2
120614A	N/A	N/A		
120612A	N/A	0.16	+7.29E-2	-6.48E-2
120521C	6	1.3	+5.1	-1.3
120521B	N/A	1.9	+0.57	-0.51
120521A	N/A	7.67E-4	+0.19	-7.67E-4
120514A	N/A	2.9	+0.79	-0.71
120426A	N/A	N/A		
120426A	N/A	N/A		
120426A	N/A	N/A		
120422A	0.28	3.05E-7	+8.83E-2	-3.05E-7
120419A	N/A	N/A		
120404A	2.87	0.64	+0.66	-0.61
120403B	N/A	0.14	+0.11	-9.73E-2
120403A	N/A	N/A		
120401A	N/A	8.25E-9	+1.91E-2	-8.25E-9
120328A	N/A	2.7	+0.71	-0.63
120327A	2.81	0.11	+1.8	-0.11
120326A	1.798	0.43	+0.18	-0.17
120324A	N/A	1.1	+0.16	-0.15
120320A	N/A	0.22	+0.15	-0.12
120312A	N/A	0.15	+0.11	-9.76E-2
120311B	N/A	0.22	+0.14	-0.12
120311A	N/A	0.18	+0.12	-0.11
120308A	N/A	2.67E-2	+2.25E-2	-2.11E-2
120305A	N/A	0.45	+0.37	-0.22
120302A	N/A	N/A		
120229A	N/A	N/A		
120224A	N/A	0.40	+6.49E-2	-6.05E-2
120219A	N/A	7.46E-9	+3.00E-2	-7.46E-9
120218A	N/A	N/A		
120215A	N/A	4.19E-2	+4.50E-2	-4.08E-2
120213A	N/A	4.29E-2	+4.71E-2	-4.29E-2
120212A	N/A	5.49E-2	+3.49E-2	-3.20E-2
120211A	N/A	4.86E-2	+7.51E-2	-4.86E-2
120202A	N/A	N/A		
120121A	N/A	3.9	+1.8	-1.3
120119A	1.728	1.3	+0.55	-0.48
120118B	2.943	6.0	+2.0	-1.7
120116A	N/A	7.43E-2	+6.94E-2	-5.05E-2
120106A	N/A	0.69	+0.22	-0.20
120102A	N/A	0.19	+3.35E-2	-3.21E-2
111229A	1.3805	0.42	+0.40	-0.34
111228A	0.714	0.35	+6.99E-2	-6.67E-2
111225A	0.297	3.54E-6	+0.13	-3.54E-6
111222A	N/A	7.20E-7	+0.30	-7.20E-7
111215B	N/A	2.14E-2	+0.12	-2.14E-2
111215A	N/A	0.38	+5.37E-2	-5.08E-2
111212A	N/A	7.48E-2	+3.56E-2	-3.29E-2
111211A	N/A	0.19	+6.94E-2	-6.24E-2
111210A	N/A	3.75E-9	+0.12	-3.75E-9
111209A	0.677	0.23	+5.15E-2	-4.96E-2
111208A	N/A	0.10	+0.14	-0.10
111207A	N/A	N/A		
111205A	N/A	0.15	+2.2	-0.15
111204A	N/A	0.15	+0.21	-0.15
